ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
XM_930970.1	ILMN_37405	LOC441155	0.63	-0.67	0.66	-0.61	0.72	-0.47	0.67	-0.58	PREDICTED: Homo sapiens similar to Zinc finger CCCH-type domain containing protein 11A, transcript variant 3 (LOC441155), mRNA.
NM_005869.2	ILMN_3741	SDCCAG10	0.70	-0.52	0.85	-0.24	1.26	0.33	1.21	0.27	Homo sapiens serologically defined colon cancer antigen 10 (SDCCAG10), mRNA.
XM_936467.1	ILMN_37437	BEXL1	0.27	-1.89	0.26	-1.95	1.07	0.10	0.65	-0.63	PREDICTED: Homo sapiens brain expressed X-linked-like 1 (BEXL1), mRNA.
NM_021151.2	ILMN_3745	CROT	0.43	-1.20	0.39	-1.34	0.66	-0.61	1.05	0.07	Homo sapiens carnitine O-octanoyltransferase (CROT), mRNA.
NM_017737.3	ILMN_3746	FNBP1L	1.17	0.23	1.11	0.14	1.24	0.31	1.08	0.12	Homo sapiens formin binding protein 1-like (FNBP1L), transcript variant 2, mRNA.
XM_936248.1	ILMN_37466	LOC642109	1.25	0.32	0.97	-0.04	0.35	-1.53	0.23	-2.11	PREDICTED: Homo sapiens similar to FRG1 protein (FSHD region gene 1 protein) (LOC642109), mRNA.
XM_941953.1	ILMN_37502	LOC652493	0.72	-0.48	2.07	1.05	0.53	-0.92	0.52	-0.95	PREDICTED: Homo sapiens similar to Ig kappa chain V-I region HK102 precursor (LOC652493), mRNA.
XM_942571.1	ILMN_37504	LOC652864	1.25	0.32	0.94	-0.09	0.95	-0.08	1.01	0.01	PREDICTED: Homo sapiens similar to Mitochondrial import inner membrane translocase subunit Tim23 (LOC652864), mRNA.
XM_940209.1	ILMN_37512	KIAA0194	1.68	0.75	1.36	0.44	1.05	0.08	1.01	0.01	PREDICTED: Homo sapiens KIAA0194 protein (KIAA0194), mRNA.
XM_926273.1	ILMN_37525	LOC642892	1.04	0.06	1.08	0.11	1.11	0.15	1.03	0.04	PREDICTED: Homo sapiens similar to 40S ribosomal protein S29 (LOC642892), mRNA.
NM_002489.2	ILMN_3753	NDUFA4	0.67	-0.57	0.77	-0.37	0.98	-0.02	1.07	0.10	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4), nuclear gene encoding mitochondrial protein, mRNA.
NM_032454.1	ILMN_3754	STK19	1.40	0.48	1.28	0.36	0.96	-0.06	1.92	0.94	Homo sapiens serine/threonine kinase 19 (STK19), transcript variant 2, mRNA.
NM_002802.2	ILMN_3756	PSMC1	0.88	-0.18	0.88	-0.18	1.21	0.28	1.12	0.17	Homo sapiens proteasome (prosome, macropain) 26S subunit, ATPase, 1 (PSMC1), mRNA.
NM_012265.1	ILMN_3757	RHBDD3	0.34	-1.54	0.67	-0.58	0.42	-1.24	0.40	-1.33	Homo sapiens rhomboid domain containing 3 (RHBDD3), mRNA.
XM_940962.1	ILMN_37572	LOC124512	NaN	NaN	0.98	-0.02	1.26	0.33	1.68	0.75	PREDICTED: Homo sapiens hypothetical protein LOC124512 (LOC124512), mRNA.
NM_002262.2	ILMN_3762	KLRD1	NaN	NaN	1.63	0.71	1.49	0.58	1.29	0.37	Homo sapiens killer cell lectin-like receptor subfamily D, member 1 (KLRD1), transcript variant 1, mRNA.
NM_004180.2	ILMN_3763	TANK	1.47	0.55	1.60	0.68	0.88	-0.19	0.86	-0.22	Homo sapiens TRAF family member-associated NFKB activator (TANK), transcript variant 1, mRNA.
XR_001416.1	ILMN_37636	LOC400713	0.78	-0.35	0.99	-0.01	0.60	-0.74	1.08	0.11	PREDICTED: Homo sapiens zinc finger-like, transcript variant 3 (LOC400713), misc RNA.
NM_139244.2	ILMN_3767	STXBP5	0.79	-0.34	0.76	-0.40	1.08	0.12	0.93	-0.11	Homo sapiens syntaxin binding protein 5 (tomosyn) (STXBP5), mRNA.
NM_005115.3	ILMN_3769	MVP	2.48	1.31	2.21	1.14	1.80	0.85	1.67	0.74	Homo sapiens major vault protein (MVP), transcript variant 2, mRNA.
XM_940732.1	ILMN_37739	LOC651559	1.52	0.60	1.11	0.15	1.87	0.90	1.90	0.92	PREDICTED: Homo sapiens similar to Phosphoglycerate mutase 1 (Phosphoglycerate mutase isozyme B) (PGAM-B) (BPG-dependent PGAM 1) (LOC651559), mRNA.
XM_942117.1	ILMN_37758	LOC652595	1.98	0.99	1.42	0.50	1.01	0.01	1.18	0.24	PREDICTED: Homo sapiens similar to U2 small nuclear ribonucleoprotein A (U2 snRNP-A) (LOC652595), mRNA.
NM_018438.4	ILMN_3776	FBXO6	3.11	1.64	3.11	1.64	2.24	1.17	2.11	1.08	Homo sapiens F-box protein 6 (FBXO6), mRNA.
NM_003764.2	ILMN_3779	STX11	5.19	2.38	5.32	2.41	2.25	1.17	2.70	1.44	Homo sapiens syntaxin 11 (STX11), mRNA.
XM_931030.1	ILMN_37790	LOC642443	NaN	NaN	NaN	NaN	0.45	-1.16	0.50	-1.01	PREDICTED: Homo sapiens similar to Alcohol dehydrogenase class III chi chain (Glutathione-dependent formaldehyde dehydrogenase) (FDH), transcript variant 2 (LOC642443), mRNA.
NM_013312.1	ILMN_3780	HOOK2	NaN	NaN	NaN	NaN	0.93	-0.10	1.01	0.01	Homo sapiens hook homolog 2 (Drosophila) (HOOK2), mRNA.
NM_001679.2	ILMN_3785	ATP1B3	1.96	0.97	1.63	0.71	2.00	1.00	3.01	1.59	Homo sapiens ATPase, Na+/K+ transporting, beta 3 polypeptide (ATP1B3), mRNA.
XM_928075.1	ILMN_37869	LOC643287	1.04	0.05	0.87	-0.20	1.06	0.09	0.97	-0.04	PREDICTED: Homo sapiens similar to prothymosin, alpha (gene sequence 28), transcript variant 1 (LOC643287), mRNA.
NM_004865.2	ILMN_3787	TBPL1	1.04	0.06	1.48	0.57	0.97	-0.04	0.89	-0.17	Homo sapiens TBP-like 1 (TBPL1), mRNA.
XM_928858.1	ILMN_37870	LOC400197	0.34	-1.54	0.62	-0.69	0.49	-1.04	0.37	-1.43	PREDICTED: Homo sapiens similar to peroxisomal short-chain alcohol dehydrogenase, transcript variant 2 (LOC400197), mRNA.
NM_003470.1	ILMN_3791	USP7	1.24	0.31	1.16	0.21	1.25	0.32	1.09	0.13	Homo sapiens ubiquitin specific peptidase 7 (herpes virus-associated) (USP7), mRNA.
XM_925989.1	ILMN_37913	LOC642489	1.23	0.30	1.14	0.18	2.03	1.02	1.92	0.94	PREDICTED: Homo sapiens similar to FK506-binding protein 1A (LOC642489), mRNA.
NM_033020.2	ILMN_3792	TRIM33	0.93	-0.10	0.90	-0.15	0.94	-0.09	1.05	0.08	Homo sapiens tripartite motif-containing 33 (TRIM33), transcript variant b, mRNA.
XM_939919.1	ILMN_37936	LOC650832	2.37	1.25	2.14	1.10	1.03	0.04	1.76	0.81	PREDICTED: Homo sapiens similar to mitogen-activated protein kinase kinase 3 isoform A (LOC650832), mRNA.
XM_936518.1	ILMN_37967	LOC647450	0.79	-0.33	2.10	1.07	0.58	-0.78	0.54	-0.88	PREDICTED: Homo sapiens similar to Ig kappa chain V-I region HK101 precursor (LOC647450), mRNA.
NM_005644.2	ILMN_3797	TAF12	1.06	0.08	0.92	-0.12	0.86	-0.23	0.74	-0.44	Homo sapiens TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa (TAF12), mRNA.
XM_941490.1	ILMN_37988	PCNXL3	0.93	-0.10	1.15	0.21	0.50	-0.99	0.62	-0.69	PREDICTED: Homo sapiens pecanex-like 3 (Drosophila), transcript variant 4 (PCNXL3), mRNA.
XM_939739.1	ILMN_37996	LOC650654	1.16	0.21	1.16	0.22	1.24	0.31	1.44	0.52	PREDICTED: Homo sapiens similar to 40S ribosomal protein SA (p40) (34/67 kDa laminin receptor) (LOC650654), mRNA.
NM_002806.2	ILMN_3800	PSMC6	1.06	0.08	0.94	-0.09	0.92	-0.11	0.87	-0.19	Homo sapiens proteasome (prosome, macropain) 26S subunit, ATPase, 6 (PSMC6), mRNA.
XM_928425.1	ILMN_38004	LOC653617	NaN	NaN	2.00	1.00	1.98	0.98	2.24	1.17	PREDICTED: Homo sapiens similar to breakpoint cluster region isoform 1 (LOC653617), mRNA.
NM_003584.1	ILMN_3801	DUSP11	1.28	0.36	1.14	0.19	1.01	0.01	0.84	-0.25	Homo sapiens dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) (DUSP11), mRNA.
NM_015556.1	ILMN_3802	SIPA1L1	1.01	0.01	0.98	-0.03	1.15	0.20	0.81	-0.30	Homo sapiens signal-induced proliferation-associated 1 like 1 (SIPA1L1), mRNA.
NM_020175.1	ILMN_3805	DUS3L	1.37	0.45	1.33	0.41	1.07	0.09	1.13	0.18	Homo sapiens dihydrouridine synthase 3-like (S. cerevisiae) (DUS3L), mRNA.
XM_938498.1	ILMN_38128	LOC649418	0.79	-0.34	0.51	-0.97	0.26	-1.95	0.21	-2.23	PREDICTED: Homo sapiens similar to Tubulin gamma-1 chain (Gamma-1 tubulin) (Gamma-tubulin complex component 1) (GCP-1) (LOC649418), mRNA.
XM_934972.1	ILMN_38145	NBPF1	1.81	0.86	1.24	0.31	0.88	-0.19	0.89	-0.17	PREDICTED: Homo sapiens neuroblastoma breakpoint family, member 1, transcript variant 11 (NBPF1), mRNA.
XM_376631.3	ILMN_38163	VPS37D	NaN	NaN	NaN	NaN	1.09	0.12	NaN	NaN	PREDICTED: Homo sapiens vacuolar protein sorting 37D (yeast) (VPS37D), mRNA.
NM_002868.2	ILMN_3818	RAB5B	0.94	-0.10	0.79	-0.35	1.11	0.15	1.04	0.06	Homo sapiens RAB5B, member RAS oncogene family (RAB5B), mRNA.
XM_495878.2	ILMN_38197	MGC3196	0.83	-0.27	1.01	0.02	0.93	-0.11	1.08	0.11	PREDICTED: Homo sapiens hypothetical protein MGC3196 (MGC3196), mRNA.
XM_929387.1	ILMN_38228	LOC646463	2.01	1.01	1.57	0.65	1.44	0.53	1.40	0.48	PREDICTED: Homo sapiens similar to Ubiquitin-conjugating enzyme E2 H (Ubiquitin-protein ligase H) (Ubiquitin carrier protein H) (UBCH2) (E2-20K) (LOC646463), mRNA.
NM_004093.2	ILMN_3827	EFNB2	0.50	-1.01	0.47	-1.08	1.44	0.52	1.85	0.89	Homo sapiens ephrin-B2 (EFNB2), mRNA.
NM_032592.1	ILMN_3829	PHACS	0.38	-1.40	0.50	-1.01	0.90	-0.16	0.47	-1.10	Homo sapiens 1-aminocyclopropane-1-carboxylate synthase (PHACS), mRNA.
XM_941861.1	ILMN_38295	LOC650029	1.31	0.39	1.39	0.47	0.85	-0.24	0.75	-0.41	PREDICTED: Homo sapiens similar to RNA-binding protein 4 (RNA-binding motif protein 4) (Lark homolog) (Hlark) (RNA-binding motif protein 4a), transcript variant 1 (LOC650029), mRNA.
NM_173804.3	ILMN_3831	TMEM86B	0.42	-1.24	0.53	-0.90	0.57	-0.81	0.55	-0.86	Homo sapiens transmembrane protein 86B (TMEM86B), mRNA.
XM_945812.1	ILMN_38325	PRNPIP	0.78	-0.35	0.81	-0.31	0.98	-0.03	0.73	-0.45	PREDICTED: Homo sapiens prion protein interacting protein, transcript variant 3 (PRNPIP), mRNA.
XM_944429.1	ILMN_38337	LOC653994	1.47	0.56	1.34	0.42	0.82	-0.28	0.71	-0.50	PREDICTED: Homo sapiens similar to Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosome region 1 protein homolog), transcript variant 2 (LOC653994), mRNA.
NM_024918.2	ILMN_3834	C20orf172	NaN	NaN	NaN	NaN	0.63	-0.67	0.88	-0.19	Homo sapiens chromosome 20 open reading frame 172 (C20orf172), mRNA.
NM_020963.1	ILMN_3835	MOV10	2.73	1.45	3.74	1.90	2.34	1.22	2.59	1.38	Homo sapiens Mov10, Moloney leukemia virus 10, homolog (mouse) (MOV10), mRNA.
XM_941966.1	ILMN_38360	LOC652500	NaN	NaN	0.75	-0.42	0.51	-0.96	0.67	-0.58	PREDICTED: Homo sapiens similar to butyrate-induced transcript 1 (LOC652500), mRNA.
XM_496441.2	ILMN_38370	LOC440732	0.87	-0.19	0.87	-0.21	1.05	0.06	1.06	0.08	PREDICTED: Homo sapiens similar to 40S ribosomal protein S7 (S8) (LOC440732), mRNA.
XM_930670.1	ILMN_38378	LOC642252	NaN	NaN	NaN	NaN	0.86	-0.21	0.73	-0.46	PREDICTED: Homo sapiens similar to Homogentisate 1,2-dioxygenase (Homogentisicase) (Homogentisate oxygenase) (Homogentisic acid oxidase), transcript variant 6 (LOC642252), mRNA.
XM_943699.1	ILMN_38384	C6orf160	0.98	-0.03	1.00	0.00	1.84	0.88	2.10	1.07	PREDICTED: Homo sapiens chromosome 6 open reading frame 160, transcript variant 4 (C6orf160), mRNA.
XM_372050.4	ILMN_38391	LOC389674	1.57	0.65	1.08	0.11	2.50	1.32	2.17	1.11	PREDICTED: Homo sapiens similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) (LOC389674), mRNA.
XM_928629.1	ILMN_38401	LOC643668	0.76	-0.40	0.75	-0.42	0.92	-0.12	0.98	-0.03	PREDICTED: Homo sapiens similar to peptidase (prosome, macropain) 26S subunit, ATPase 1, transcript variant 1 (LOC643668), mRNA.
XM_496442.2	ILMN_38430	LOC440733	1.15	0.20	1.16	0.21	1.14	0.19	1.05	0.07	PREDICTED: Homo sapiens similar to 40S ribosomal protein S15 (RIG protein) (LOC440733), mRNA.
XM_938633.1	ILMN_38437	LOC649561	0.78	-0.36	NaN	NaN	0.79	-0.34	0.47	-1.10	PREDICTED: Homo sapiens similar to basic leucine zipper and W2 domains 1 (LOC649561), mRNA.
XM_927964.1	ILMN_38439	LOC644872	1.61	0.69	1.38	0.46	1.10	0.14	1.08	0.11	PREDICTED: Homo sapiens hypothetical protein LOC644872 (LOC644872), mRNA.
NM_001009941.1	ILMN_3845	ANKRD16	NaN	NaN	NaN	NaN	0.78	-0.36	NaN	NaN	Homo sapiens ankyrin repeat domain 16 (ANKRD16), transcript variant 2, mRNA.
XM_943726.1	ILMN_38501	ZNF292	NaN	NaN	NaN	NaN	1.52	0.60	1.15	0.20	PREDICTED: Homo sapiens zinc finger protein 292, transcript variant 5 (ZNF292), mRNA.
NM_198271.2	ILMN_3851	LMOD3	0.79	-0.35	0.84	-0.25	0.75	-0.41	1.06	0.09	Homo sapiens leiomodin 3 (fetal) (LMOD3), mRNA.
XM_941746.1	ILMN_38512	KIAA0258	NaN	NaN	NaN	NaN	1.08	0.11	1.13	0.17	PREDICTED: Homo sapiens KIAA0258, transcript variant 3 (KIAA0258), mRNA.
NM_005701.2	ILMN_3859	RNUT1	1.20	0.27	1.00	0.00	1.03	0.04	0.90	-0.15	Homo sapiens RNA, U transporter 1 (RNUT1), mRNA.
NM_001321.1	ILMN_3862	CSRP2	0.77	-0.37	1.21	0.28	0.78	-0.36	1.02	0.03	Homo sapiens cysteine and glycine-rich protein 2 (CSRP2), mRNA.
NM_173842.1	ILMN_3867	IL1RN	20.96	4.39	18.15	4.18	NaN	NaN	NaN	NaN	Homo sapiens interleukin 1 receptor antagonist (IL1RN), transcript variant 1, mRNA.
XM_938776.1	ILMN_38699	LOC649708	2.18	1.13	2.60	1.38	1.38	0.46	1.20	0.26	PREDICTED: Homo sapiens similar to Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1) (LOC649708), mRNA.
NM_207356.1	ILMN_3872	C1orf174	0.47	-1.10	0.47	-1.09	1.05	0.07	1.21	0.28	Homo sapiens chromosome 1 open reading frame 174 (C1orf174), mRNA.
NM_005923.3	ILMN_3874	MAP3K5	1.77	0.82	2.45	1.29	1.03	0.05	1.03	0.04	Homo sapiens mitogen-activated protein kinase kinase kinase 5 (MAP3K5), mRNA.
NM_015001.2	ILMN_3876	SPEN	1.57	0.65	1.57	0.65	1.21	0.28	1.26	0.33	Homo sapiens spen homolog, transcriptional regulator (Drosophila) (SPEN), mRNA.
XM_059384.10	ILMN_38797	LOC643597	0.79	-0.34	0.70	-0.51	1.05	0.07	1.10	0.14	PREDICTED: Homo sapiens hypothetical protein LOC643597 (LOC643597), mRNA.
XM_933931.1	ILMN_38816	LOC646774	1.39	0.47	1.34	0.42	1.02	0.03	1.04	0.06	PREDICTED: Homo sapiens hypothetical protein LOC646774 (LOC646774), mRNA.
XM_926831.1	ILMN_38819	LOC643516	0.90	-0.15	0.86	-0.21	1.07	0.10	1.12	0.16	PREDICTED: Homo sapiens similar to 40S ribosomal protein S26 (LOC643516), mRNA.
NM_139035.1	ILMN_3883	SMARCA1	NaN	NaN	NaN	NaN	0.95	-0.08	NaN	NaN	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (SMARCA1), transcript variant 2, mRNA.
XM_926168.1	ILMN_38834	LOC643025	1.21	0.28	1.21	0.28	2.19	1.13	2.31	1.21	PREDICTED: Homo sapiens similar to Probable phosphoglycerate mutase 4, transcript variant 1 (LOC643025), mRNA.
NR_000034.1	ILMN_3887	FAM11B	2.16	1.11	1.83	0.87	0.98	-0.04	0.94	-0.08	Homo sapiens family with sequence similarity 11, member B (FAM11B) on chromosome 2.
XM_927071.1	ILMN_38875	LOC643790	0.61	-0.71	0.57	-0.82	0.66	-0.59	0.58	-0.78	PREDICTED: Homo sapiens similar to Nonhistone chromosomal protein HMG-14 (High-mobility group nucleosome binding domain 1) (LOC643790), mRNA.
XM_926130.1	ILMN_38908	LOC642678	0.46	-1.13	0.61	-0.72	0.70	-0.52	0.93	-0.11	PREDICTED: Homo sapiens similar to myeloid/lymphoid or mixed-lineage leukemia 3 isoform 2 (LOC642678), mRNA.
NM_005218.3	ILMN_3894	DEFB1	1.89	0.92	1.78	0.83	2.71	1.44	1.05	0.06	Homo sapiens defensin, beta 1 (DEFB1), mRNA.
NM_001011649.1	ILMN_3896	CDK5RAP2	0.48	-1.07	0.45	-1.14	1.44	0.52	1.19	0.25	Homo sapiens CDK5 regulatory subunit associated protein 2 (CDK5RAP2), transcript variant 2, mRNA.
XM_931041.1	ILMN_38977	FRMD4B	1.66	0.73	1.41	0.50	1.07	0.10	1.04	0.06	PREDICTED: Homo sapiens FERM domain containing 4B, transcript variant 3 (FRMD4B), mRNA.
NM_213589.1	ILMN_3898	RAPH1	0.16	-2.60	0.22	-2.16	0.55	-0.86	0.57	-0.82	Homo sapiens Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 (RAPH1), transcript variant 1, mRNA.
XM_928920.1	ILMN_38992	LOC653427	1.75	0.81	1.38	0.47	1.00	-0.01	1.03	0.05	PREDICTED: Homo sapiens similar to forkhead box D4 like 3, transcript variant 1 (LOC653427), mRNA.
NM_176878.1	ILMN_3904	INADL	0.36	-1.47	NaN	NaN	0.73	-0.46	0.99	-0.02	Homo sapiens InaD-like (Drosophila) (INADL), transcript variant 4, mRNA.
NM_003359.2	ILMN_3906	UGDH	1.03	0.05	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens UDP-glucose dehydrogenase (UGDH), mRNA.
XM_928429.1	ILMN_39089	LOC388275	1.65	0.72	1.27	0.35	2.37	1.25	1.99	0.99	PREDICTED: Homo sapiens similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) (LOC388275), mRNA.
XM_934218.1	ILMN_39093	LOC644852	0.78	-0.35	1.10	0.13	1.17	0.22	1.22	0.28	PREDICTED: Homo sapiens hypothetical protein LOC644852, transcript variant 2 (LOC644852), mRNA.
NM_002807.2	ILMN_3914	PSMD1	1.17	0.22	0.90	-0.15	0.90	-0.16	0.78	-0.36	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 (PSMD1), mRNA.
XM_068229.3	ILMN_39163	LOC133185	NaN	NaN	1.51	0.59	1.17	0.23	0.98	-0.03	PREDICTED: Homo sapiens similar to calmodulin regulated spectrin-associated protein 1-like 1 (LOC133185), mRNA.
XM_928619.1	ILMN_39218	LOC645609	1.60	0.68	1.33	0.42	0.99	-0.01	1.07	0.10	PREDICTED: Homo sapiens similar to TBC1 domain family member 3 (Rab GTPase-activating protein PRC17) (Prostate cancer gene 17 protein) (TRE17 alpha protein) (LOC645609), mRNA.
XM_930472.1	ILMN_39234	LOC645070	1.04	0.06	0.80	-0.32	0.74	-0.44	0.91	-0.14	PREDICTED: Homo sapiens similar to AT rich interactive domain 1B (SWI1-like) isoform 1, transcript variant 1 (LOC645070), mRNA.
XM_941924.1	ILMN_39246	LOC644560	1.00	0.00	0.98	-0.02	1.19	0.25	1.44	0.53	PREDICTED: Homo sapiens region containing F-box protein 10; chromosome 9 open reading frame 105, transcript variant 1 (LOC644560), mRNA.
NM_148178.1	ILMN_3926	C9orf23	0.98	-0.02	0.95	-0.08	0.91	-0.14	1.01	0.01	Homo sapiens chromosome 9 open reading frame 23 (C9orf23), transcript variant 1, mRNA.
XM_927868.1	ILMN_39269	LOC644774	1.25	0.33	0.91	-0.14	1.05	0.07	1.13	0.18	PREDICTED: Homo sapiens similar to Phosphoglycerate kinase 1 (LOC644774), mRNA.
XM_945956.1	ILMN_39289	LOC440589	1.12	0.17	0.99	-0.02	1.02	0.03	0.93	-0.10	PREDICTED: Homo sapiens similar to ribosomal protein S2, transcript variant 4 (LOC440589), mRNA.
NM_021971.1	ILMN_3929	GMPPB	1.08	0.11	NaN	NaN	0.61	-0.71	0.73	-0.45	Homo sapiens GDP-mannose pyrophosphorylase B (GMPPB), transcript variant 2, mRNA.
XM_943577.1	ILMN_39323	LOC388474	1.08	0.11	1.05	0.06	1.11	0.15	1.05	0.08	PREDICTED: Homo sapiens similar to 60S ribosomal protein L7a, transcript variant 4 (LOC388474), mRNA.
XM_496446.2	ILMN_39347	LOC440737	0.93	-0.10	0.90	-0.15	1.11	0.15	1.27	0.34	PREDICTED: Homo sapiens similar to 60S ribosomal protein L35 (LOC440737), mRNA.
XM_498537.2	ILMN_39373	LOC440084	1.41	0.50	1.19	0.25	1.02	0.04	0.97	-0.04	PREDICTED: Homo sapiens hypothetical LOC440084 (LOC440084), mRNA.
XM_927999.1	ILMN_39385	LOC653542	1.65	0.72	NaN	NaN	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens similar to dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (LOC653542), mRNA.
XM_496163.2	ILMN_39439	LOC654052	1.16	0.21	1.17	0.23	0.55	-0.85	0.46	-1.11	PREDICTED: Homo sapiens similar to RAB41 protein (LOC654052), mRNA.
NM_024954.3	ILMN_3953	UBTD1	1.68	0.75	1.93	0.95	1.47	0.55	1.68	0.75	Homo sapiens ubiquitin domain containing 1 (UBTD1), mRNA.
XM_944243.1	ILMN_39543	LOC648695	1.36	0.44	0.93	-0.11	0.79	-0.34	0.81	-0.31	PREDICTED: Homo sapiens similar to retinoblastoma binding protein 4, transcript variant 4 (LOC648695), mRNA.
NM_016509.2	ILMN_3962	CLEC1B	0.25	-2.00	0.38	-1.41	0.93	-0.11	0.81	-0.30	Homo sapiens C-type lectin domain family 1, member B (CLEC1B), mRNA.
XM_941975.1	ILMN_39645	LOC652506	0.64	-0.65	0.78	-0.36	0.86	-0.22	0.86	-0.22	PREDICTED: Homo sapiens similar to Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor (Fp) (Flavoprotein subunit of complex II) (LOC652506), mRNA.
NM_014892.3	ILMN_3973	RBM16	0.98	-0.03	0.96	-0.06	1.12	0.17	1.02	0.03	Homo sapiens RNA binding motif protein 16 (RBM16), mRNA.
XM_927140.1	ILMN_39786	LOC643870	1.23	0.30	1.04	0.06	1.30	0.38	1.17	0.23	PREDICTED: Homo sapiens similar to Translationally-controlled tumor protein (TCTP) (p23) (Histamine-releasing factor) (HRF) (Fortilin) (LOC643870), mRNA.
XM_928115.1	ILMN_39801	LOC643430	0.97	-0.04	0.96	-0.06	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens similar to Endoplasmin precursor (94 kDa glucose-regulated protein) (GRP94) (gp96 homolog) (Tumor rejection antigen 1) (LOC643430), mRNA.
NM_002707.3	ILMN_3981	PPM1G	1.57	0.65	1.40	0.48	0.88	-0.19	0.93	-0.11	Homo sapiens protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform (PPM1G), transcript variant 2, mRNA.
XM_933437.1	ILMN_39828	LOC646135	1.54	0.62	1.22	0.29	1.02	0.03	0.97	-0.04	PREDICTED: Homo sapiens hypothetical protein LOC646135 (LOC646135), mRNA.
XM_946070.1	ILMN_39829	USP24	0.90	-0.15	0.84	-0.26	1.00	0.01	0.87	-0.20	PREDICTED: Homo sapiens ubiquitin specific peptidase 24, transcript variant 6 (USP24), mRNA.
NM_020415.2	ILMN_3985	RETN	38.55	5.27	16.87	4.08	NaN	NaN	NaN	NaN	Homo sapiens resistin (RETN), mRNA.
XM_938116.1	ILMN_39856	LOC653942	1.18	0.24	0.90	-0.15	1.00	0.00	0.87	-0.19	PREDICTED: Homo sapiens similar to Signal recognition particle 9 kDa protein (SRP9) (LOC653942), mRNA.
XM_927198.1	ILMN_39863	LOC643007	NaN	NaN	0.88	-0.18	NaN	NaN	1.07	0.10	PREDICTED: Homo sapiens similar to large subunit ribosomal protein L36a (LOC643007), mRNA.
NM_000130.2	ILMN_3987	F5	1.54	0.62	1.45	0.54	1.05	0.08	1.31	0.39	Homo sapiens coagulation factor V (proaccelerin, labile factor) (F5), mRNA.
XM_371820.4	ILMN_39876	FLJ90086	NaN	NaN	NaN	NaN	1.15	0.20	1.75	0.81	PREDICTED: Homo sapiens similar to AI661453 protein (FLJ90086), mRNA.
NM_016456.2	ILMN_3989	TMEM9	0.26	-1.96	0.27	-1.88	0.28	-1.86	0.23	-2.10	Homo sapiens transmembrane protein 9 (TMEM9), mRNA.
XM_941946.1	ILMN_39890	LOC650230	0.85	-0.24	0.74	-0.43	1.08	0.12	1.23	0.30	PREDICTED: Homo sapiens similar to heat shock 70kD protein binding protein (LOC650230), mRNA.
XM_938649.1	ILMN_39903	LOC648140	1.47	0.55	1.03	0.04	1.29	0.37	1.31	0.38	PREDICTED: Homo sapiens similar to phosphatidylinositol-4-phosphate 5-kinase, type I, alpha, transcript variant 1 (LOC648140), mRNA.
NM_015157.1	ILMN_3997	PHLDB1	1.08	0.11	0.87	-0.20	1.77	0.83	1.82	0.87	Homo sapiens pleckstrin homology-like domain, family B, member 1 (PHLDB1), mRNA.
XM_940993.1	ILMN_39975	LOC651771	1.52	0.61	1.20	0.26	0.77	-0.39	0.95	-0.08	PREDICTED: Homo sapiens similar to apoptosis-associated tyrosine kinase (LOC651771), mRNA.
XM_939884.1	ILMN_40016	LOC648113	1.11	0.16	1.20	0.27	0.81	-0.31	0.90	-0.16	PREDICTED: Homo sapiens similar to M-phase phosphoprotein, mpp8, transcript variant 1 (LOC648113), mRNA.
NM_033493.1	ILMN_4002	CDC2L1	2.58	1.37	1.67	0.74	0.78	-0.35	0.73	-0.45	Homo sapiens cell division cycle 2-like 1 (PITSLRE proteins) (CDC2L1), transcript variant 9, mRNA.
XM_926656.1	ILMN_40029	LOC643310	0.95	-0.08	1.07	0.10	1.28	0.35	1.31	0.39	PREDICTED: Homo sapiens similar to heat shock 70kD protein binding protein (LOC643310), mRNA.
